"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jul 05 21:38:22 GMT 2024","Fri Jul 05 21:40:15 GMT 2024","113052","chromium","","Folders","","","TC_06_25_01 | Move folder to folder","To verify the user can move folder to folder"
"passed","Fri Jul 05 20:57:12 GMT 2024","Fri Jul 05 20:57:42 GMT 2024","29406","chromium","","Sign Document","","","TC_04_11_01 | Verify custom signing order","To verify custom signing order"
"passed","Fri Jul 05 21:13:50 GMT 2024","Fri Jul 05 21:15:59 GMT 2024","129389","chromium","","DocumentsType","","","TC_05_16_01 | Verify the user receives an email reminder to sign the document","Objective: To verify that the user can send a reminder through the user interface."
"passed","Fri Jul 05 20:56:27 GMT 2024","Fri Jul 05 20:57:12 GMT 2024","45490","chromium","","CreateDocument","","","TC_03_07_04 | Verify that user can sign a document themselves with existed signature","Objective: To verify the process of creating and signing a document with an existing signature"
"passed","Fri Jul 05 20:57:42 GMT 2024","Fri Jul 05 20:59:05 GMT 2024","83350","chromium","","Sign Document","","","TC_04_14_01 | Verify adding users who can view the document","To verify the adding viewers / adding users who can view the document."
"failed","Fri Jul 05 21:10:05 GMT 2024","Fri Jul 05 21:11:08 GMT 2024","63392","chromium","","DocumentsType","","","TC_05_18_01 | Verify moving a document to a folder","To verify the process of moving a document into a folder."
"passed","Fri Jul 05 20:53:48 GMT 2024","Fri Jul 05 20:54:54 GMT 2024","66159","chromium","","CreateDocument","","","TC_03_07_03 | Verify user can create document and send it for signature","Objective: To verify the process of creating and sending a document for signature."
"passed","Fri Jul 05 21:02:00 GMT 2024","Fri Jul 05 21:02:43 GMT 2024","43129","chromium","","Sign Document","","","TC_04_13_01 | Verify the document's expiration date","Objective: Verify that changing the document status to ""expired""(database) updates the front-end display"
"passed","Fri Jul 05 21:36:04 GMT 2024","Fri Jul 05 21:37:21 GMT 2024","76500","chromium","","Folders","","","TC_06_23_01 | Rename folder","Objective: Testing Folder Renaming Functionality."
"passed","Fri Jul 05 21:00:18 GMT 2024","Fri Jul 05 21:01:15 GMT 2024","57354","chromium","","Sign Document","","","TC_04_10_01 | Verify sign document as myself","Objective: To verify sign document as myself"
"passed","Fri Jul 05 20:54:54 GMT 2024","Fri Jul 05 20:55:33 GMT 2024","38865","chromium","","CreateDocument","","","TC_03_07_02 | Verify that the user who uploaded the document and Other Signer can sign it","Objective: To verify the process of creating, signing, and sending a document to another signer."
"broken","Fri Jul 05 21:33:11 GMT 2024","Fri Jul 05 21:34:12 GMT 2024","60367","chromium","","Folders","","","TC_06_22_01 | Verify the business user can create folder",""
"failed","Fri Jul 05 21:46:07 GMT 2024","Fri Jul 05 21:47:44 GMT 2024","96583","chromium","","Templates","","","TC_07_31_01 | Verify that  the user can select Add to API","Objective: To verify the process of add template to API."
